"key","en","fr"
"horizontal","Press A and D to move the robot","Appuyez sur Q et D pour déplacer le robot"
"interact","Press E to interact","Appuyez sur E pour intéragir"
"jump","Press W or SPACE to jump","Appuyez sur Z ou ESPACE pour sauter"
"jump_long","Hold to jump higher","Appuyez plus longtemps pour sauter plus haut"
"teleport_aim","Use the mouse to aim","Utilisez la souris pour viser"
"teleport","Left clic to teleport","Clic gauche pour téléporter"
"exit","EXIT","SORTIE"
"door_switch1","Door control A","Contrôle porte A"
"door_switch2","Door control B","Contrôle porte B"
"fall","Falling risk","Risque de chute"
"door1","GATE A-15","PORTAIL A-15"
"door_switch3","GATE A-15 CONTROL","CONTRÔLE PORTAIL A-15"
"sign1a","","IL EST INTERDIT DE"
"sign1b","","MONTER SUR LES PLATEFORMES"
