"key","en","fr"
"continue","Continue","Continuer"
"back","Back","Retour"
"yes","Yes","Oui"
"no","No","Non"
"cancel","Cancel","Annuler"
"ok","OK","OK"
"new_game","New game","Nouvelle partie"
"load","Load a save file","Charger une partie"
"options","Settings","Paramètres"
"level_editor","Open level editor","Ouvrir l'éditeur de niveaux"
"quit","Quit","Quitter"
"new_game_label","Please choose a name for your save file:","Veuillez choisir le nom de votre sauvegarde:"
"filename_placeholder","File name...","Nom du fichier..."
"chapter","Chapter","Chapitre"
"play","Start game","Commencer"
"paused_label","The game is now paused","Le jeu est en pause"
"resume","Resume","Reprendre"
"back_to_main","Back to main menu","Retour au menu principal"
"graphics","Window and graphics","Fenêtre et graphismes"
"audio","Audio","Audio"
"apply","Apply","Appliquer"
"save","Save","Sauvegarder"
"global_volume","Global volume","Volume global"
"sounds_volume","Game sounds volume","Volume des son du jeu"
"music_volume","Music volume","Volume de la musique"
"ui_volume","Interface sounds volume","Volume de l'interface"
"fullscreen","Fullscreen","Plein écran"
"use_main","Use main monitor","Utiliser l'écran principal"
"monitor_id","Monitor index","Numéro de l'écran"
"min_fps","Minimum FSP","FPS minimum"
"display_fps","Display FPS","Afficher le FPS"
"win_size","Window height","Hauteur de la fenêtre"
"action0","Move left","Gauche"
"action1","Move right","Droite"
"action2","Jump","Sauter"
"action3","Down","Bas"
"action4","Interact","Intéragir"
"controls","Controls","Contrôles"
"press_key","Press a key for:","Appuyez sur une touche pour:"
"react_temp","","Température du réacteur:"
"enter","Enter","Entrée"
"space","Space","Espace"
"tab","Tabulation","Tabulation"
"shift","Shift","Shift"
"control","Control","Contrôle"
"alt","Alt","Alt"
"comma","Comma","Virgule"
"left_arrow","Left arrow","Flèche gauche"
"right_arrow","Right arrow","Flèche droite"
"up_arrow","Up arrow","Flèche haut"
"down_arrow","Down arrow","Flèche bas"
"unknown_key","Unknown key","Touche inconnue"
"language","Language","Langue"
"language_name","English","Français"
"open_editor","Open the level editor?","Ouvrir l'éditeur de niveaux?"
"editor_warning1","","L'éditeur de niveau est experimental, et ne fonctionne pas très bien."
"editor_warning2","","Vous pourrez trouver une documentation donnée avec les fichiers du jeu à:"
"editor_warning3","","Docs\fr\index.html"
